--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
262.598  029.569  028.820: require('dapui.elements.breakpoints')
263.074  000.456  000.456: require('dapui.components.breakpoints')
263.527  000.391  000.391: require('dapui.elements.repl')
263.895  000.365  000.365: require('dapui.elements.scopes')
264.249  000.345  000.345: require('dapui.components.scopes')
264.613  000.363  000.363: require('dapui.components.variables')
264.871  000.248  000.248: require('dapui.elements.stacks')
265.579  000.448  000.448: require('dapui.components.frames')
265.580  000.700  000.252: require('dapui.components.threads')
266.033  000.443  000.443: require('dapui.elements.watches')
266.469  000.395  000.395: require('dapui.components.watches')
266.720  000.242  000.242: require('dapui.elements.hover')
266.985  000.259  000.259: require('dapui.components.hover')
267.256  000.268  000.268: require('dapui.elements.console')
267.908  000.463  000.463: require('nvim-dap-virtual-text')
267.951  000.015  000.015: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:830
267.964  000.011  000.011: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:830
268.668  000.699  000.699: require('lspconfig.configs.kotlin_language_server')
269.082  000.353  000.353: require('lspconfig.configs.gleam')
269.486  000.331  000.331: require('lspconfig.configs.pyright')
269.905  000.388  000.388: require('lspconfig.configs.volar')
270.243  000.302  000.302: require('lspconfig.configs.dockerls')
270.556  000.294  000.294: require('lspconfig.configs.html')
270.916  000.317  000.317: require('lspconfig.configs.cssls')
271.139  000.205  000.205: require('lspconfig.configs.svelte')
271.463  000.314  000.314: require('lspconfig.configs.graphql')
272.308  000.832  000.832: require('vim.filetype')
272.715  000.405  000.405: require('rust-tools')
273.502  000.286  000.286: require('rust-tools.utils.utils')
273.505  000.788  000.502: require('rust-tools.code_action_group')
273.730  000.224  000.224: require('rust-tools.cached_commands')
273.948  000.217  000.217: require('rust-tools.commands')
274.646  000.215  000.215: require('rust-tools.executors.termopen')
276.405  001.758  001.758: require('rust-tools.executors.quickfix')
276.661  000.255  000.255: require('rust-tools.executors.toggleterm')
276.904  000.242  000.242: require('rust-tools.executors.vimux')
276.905  002.686  000.216: require('rust-tools.executors')
276.914  002.964  000.278: require('rust-tools.config')
277.191  000.277  000.277: require('rust-tools.crate_graph')
277.507  000.314  000.314: require('rust-tools.dap')
277.791  000.283  000.283: require('rust-tools.debuggables')
278.032  000.240  000.240: require('rust-tools.expand_macro')
278.269  000.236  000.236: require('rust-tools.external_docs')
278.570  000.299  000.299: require('rust-tools.hover_actions')
278.828  000.257  000.257: require('rust-tools.hover_range')
279.191  000.362  000.362: require('rust-tools.inlay_hints')
279.476  000.281  000.281: require('rust-tools.join_lines')
